transaction_id,transaction_date,country,currency,transaction_amount,transaction_status,payment_method,merchant_category
75722,2026-06-02,USA,USD,390.88,successful,credit_card,Utilities
80185,2026-03-08,Poland,USD,270.59,successful,wallet,Retail
19865,2026-06-18,UAE,PLN,182.38,successful,wallet,Retail
76700,2026-08-20,USA,USD,952.25,successful,bank_transfer,Retail
92992,2026-07-07,Poland,PLN,193.23,successful,wallet,Retail
76435,2026-01-23,Poland,PLN,150.67,successful,wallet,Retail
84005,2026-03-25,USA,INR,224.32,successful,debit_card,Retail
80918,2026-04-05,UAE,AED,70.64,successful,bank_transfer,Food
60768,2026-05-22,UAE,MXN,809.27,successful,debit_card,Retail
50075,2026-08-07,India,USD,626.92,successful,credit_card,Food
27702,2026-05-19,Mexico,AED,403.01,successful,bank_transfer,Utilities
42142,2026-01-26,Mexico,USD,429.19,successful,wallet,Food
45081,2026-07-15,Poland,USD,616.07,successful,wallet,Services
16639,2026-07-10,India,AED,644.89,successful,debit_card,Utilities
20425,2026-02-22,India,PLN,359.19,successful,wallet,Utilities
88703,2026-08-01,Poland,AED,388.65,successful,debit_card,Retail
150,2026-07-20,Poland,AED,217.43,successful,debit_card,Travel
1762,2026-03-16,UAE,AED,333.82,successful,wallet,Food
63121,2026-08-26,India,PLN,590.17,successful,wallet,Retail
69162,2026-05-05,Mexico,AED,1619.15,successful,bank_transfer,Travel
64884,2026-04-05,India,AED,465.3,failed,credit_card,Utilities
2496,2026-01-14,USA,INR,1175.06,successful,wallet,Food
80297,2026-02-15,Mexico,USD,569.91,successful,debit_card,Travel
19448,2026-07-07,India,MXN,153.5,successful,credit_card,Travel
41332,2026-07-29,Mexico,USD,158.91,successful,credit_card,Services
14889,2026-08-15,Poland,INR,101.35,successful,wallet,Retail
88637,2026-01-11,USA,INR,367.11,successful,debit_card,Travel
94893,2026-06-09,Poland,INR,412.59,successful,bank_transfer,Services
92732,2026-01-07,India,MXN,542.59,successful,debit_card,Travel
29131,2026-05-24,USA,PLN,385.17,successful,wallet,Retail
79023,2026-03-21,UAE,USD,123.19,successful,debit_card,Retail
84937,2026-04-12,UAE,PLN,183.64,successful,wallet,Utilities
16822,2026-01-09,UAE,USD,176.14,successful,wallet,Utilities
36734,2026-04-19,UAE,USD,250.82,successful,debit_card,Travel
15603,2026-01-01,India,PLN,684.48,successful,debit_card,Retail
28534,2026-02-11,Poland,USD,62.38,successful,wallet,Utilities
69770,2026-07-25,UAE,MXN,104.0,successful,wallet,Travel
11406,2026-08-14,USA,PLN,1080.04,successful,bank_transfer,Utilities
96853,2026-01-22,India,MXN,251.61,successful,credit_card,Utilities
16131,2026-03-17,India,USD,52.33,successful,bank_transfer,Services
19793,2026-02-07,USA,INR,337.07,successful,debit_card,Food
89578,2026-01-08,Poland,USD,144.18,successful,debit_card,Travel
40164,2026-06-11,India,PLN,328.42,successful,debit_card,Utilities
31777,2026-07-07,Mexico,USD,218.1,successful,bank_transfer,Services
25331,2026-02-10,UAE,PLN,311.61,successful,wallet,Retail
79157,2026-08-03,UAE,MXN,193.49,successful,debit_card,Food
51686,2026-04-13,Poland,PLN,716.09,successful,bank_transfer,Utilities
75499,2026-01-28,India,MXN,389.83,successful,wallet,Food
4728,2026-07-22,UAE,USD,236.73,successful,wallet,Retail
85199,2026-08-19,USA,AED,399.87,successful,bank_transfer,Services
35796,2026-01-20,USA,MXN,742.35,successful,wallet,Utilities
12257,2026-05-15,UAE,PLN,538.75,successful,credit_card,Food
35719,2026-07-14,Poland,AED,134.29,successful,wallet,Food
70552,2026-07-04,UAE,USD,215.39,successful,debit_card,Retail
54375,2026-03-21,USA,INR,235.9,successful,bank_transfer,Services
39692,2026-02-14,UAE,INR,581.05,successful,wallet,Travel
93703,2026-02-07,Poland,INR,132.98,successful,debit_card,Utilities
73692,2026-01-17,Poland,INR,351.59,successful,credit_card,Services
98071,2026-04-28,UAE,MXN,567.8,successful,wallet,Retail
576,2026-04-30,USA,MXN,272.27,successful,credit_card,Services
84611,2026-08-14,USA,PLN,529.24,successful,debit_card,Food
61770,2026-04-01,India,PLN,298.91,successful,bank_transfer,Food
32261,2026-07-31,India,USD,230.48,successful,credit_card,Food
82200,2026-05-13,Mexico,AED,244.67,successful,bank_transfer,Utilities
36291,2026-02-05,Mexico,PLN,346.29,successful,credit_card,Food
78450,2026-04-03,Mexico,INR,209.47,successful,credit_card,Services
60056,2026-05-25,UAE,AED,105.12,successful,bank_transfer,Services
45949,2026-04-16,UAE,USD,445.66,failed,wallet,Utilities
28178,2026-07-03,Poland,INR,111.66,successful,bank_transfer,Food
84464,2026-02-18,UAE,MXN,458.07,successful,bank_transfer,Travel
579,2026-04-02,USA,USD,109.8,successful,debit_card,Services
30960,2026-07-28,Poland,PLN,327.0,successful,credit_card,Utilities
64291,2026-08-16,UAE,USD,210.93,successful,debit_card,Travel
14532,2026-05-31,UAE,AED,134.41,successful,wallet,Utilities
17934,2026-02-06,Mexico,MXN,359.26,successful,bank_transfer,Utilities
33609,2026-06-17,India,PLN,933.54,successful,credit_card,Food
49960,2026-04-12,UAE,USD,1146.05,successful,credit_card,Services
66599,2026-07-20,India,USD,455.9,successful,debit_card,Travel
99090,2026-04-30,Mexico,PLN,437.92,successful,wallet,Services
34452,2026-04-18,UAE,PLN,232.59,successful,debit_card,Retail
34081,2026-05-25,UAE,MXN,187.17,successful,debit_card,Retail
63588,2026-08-29,Poland,INR,88.21,successful,bank_transfer,Food
4294,2026-02-07,Mexico,MXN,148.56,successful,debit_card,Travel
69103,2026-02-08,USA,INR,80.7,successful,credit_card,Food
86412,2026-06-23,Poland,PLN,155.42,successful,wallet,Services
99477,2026-07-13,USA,AED,160.81,successful,bank_transfer,Services
53930,2026-05-11,Mexico,MXN,113.16,successful,wallet,Retail
87071,2026-04-25,Mexico,PLN,108.57,successful,credit_card,Utilities
65084,2026-08-30,USA,USD,137.03,successful,wallet,Utilities
30713,2026-04-06,UAE,PLN,202.7,successful,bank_transfer,Food
49183,2026-03-10,USA,AED,208.67,successful,credit_card,Retail
57235,2026-05-01,Mexico,INR,970.83,successful,credit_card,Utilities
15664,2026-04-24,USA,PLN,226.64,successful,wallet,Utilities
19967,2026-03-06,Mexico,AED,1176.37,successful,bank_transfer,Utilities
91913,2026-07-02,Mexico,USD,995.84,successful,credit_card,Food
91958,2026-03-15,India,PLN,322.2,successful,wallet,Travel
81347,2026-01-30,Mexico,USD,240.51,successful,bank_transfer,Utilities
55326,2026-04-14,UAE,USD,212.1,successful,debit_card,Utilities
29858,2026-02-03,India,AED,55.3,successful,credit_card,Food
71223,2026-01-14,Mexico,INR,262.66,successful,wallet,Services
52459,2026-08-04,India,PLN,632.18,successful,credit_card,Utilities
88346,2026-08-28,Mexico,INR,532.65,successful,wallet,Food
82364,2026-03-23,UAE,AED,316.21,successful,credit_card,Food
65350,2026-02-04,Mexico,USD,177.98,successful,bank_transfer,Retail
59650,2026-03-03,India,PLN,257.85,successful,debit_card,Retail
44953,2026-06-30,Mexico,INR,59.4,successful,debit_card,Travel
39526,2026-08-28,USA,PLN,28.94,successful,credit_card,Travel
13936,2026-01-31,India,INR,241.73,successful,debit_card,Retail
93781,2026-01-18,Poland,PLN,44.81,successful,credit_card,Utilities
89885,2026-06-24,Mexico,INR,241.91,successful,credit_card,Utilities
81144,2026-04-28,Poland,AED,228.88,successful,credit_card,Food
95800,2026-01-26,India,USD,265.08,successful,debit_card,Food
89405,2026-08-04,Mexico,MXN,83.78,successful,wallet,Utilities
55224,2026-06-20,Poland,INR,114.34,successful,debit_card,Travel
73646,2026-05-03,Mexico,PLN,616.4,successful,credit_card,Utilities
66294,2026-05-26,India,INR,403.16,successful,debit_card,Utilities
65540,2026-08-30,Mexico,MXN,95.46,failed,bank_transfer,Travel
28111,2026-03-18,USA,PLN,68.88,successful,debit_card,Travel
41929,2026-03-27,UAE,USD,218.17,successful,wallet,Travel
